id_municipio,taxa_observada,n_avaliados_ano,mun_n_avaliados_lag,mun_n_escolas_lag,mun_taxa_alfabetizacao_lag,mun_media_proficiencia_lag,mun_dp_proficiencia_lag,mun_pct_defasagem_severa_lag,mun_dp_entre_escolas_lag,mun_pior_escola_lag,mun_taxa_presenca_lag,mun_pct_rede_municipal_lag,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,nivel_alfabetizacao,percentual_participacao,regiao,mesorregiao,populacao,pib_per_capita,pct_vab_adm_publica,log_populacao,porte_municipio,meta_ano,gap_lag_meta_ano,gap_lag_meta_2030,esforco_necessario,ano,nao_atingiu_meta
1100015,68.0,275,227,5,67.40088105726872,759.9377,44.030582,9.251101321585903,30.67716472189289,0.0,89.37007874015748,100.0,67.08,69.51,71.84,74.06,76.16,78.14,80,3.0,89.37,Norte,Leste Rondoniense,22516.0,32619.78148871913,25.28,10.02202585845966,Pequeno,67.08,0.3208810572687213,-12.59911894273128,-0.3208810572687213,2024,0
1100023,65.85365853658537,1066,1222,22,62.52045826513911,757.466,49.47795,13.584288052373159,18.102311338912013,31.428571428571427,89.78692138133725,100.0,65.22,68.02,70.71,73.25,75.65,77.9,80,3.0,89.79,Norte,Leste Rondoniense,111148.0,28892.053838125743,28.03,11.618626922500768,Grande,65.22,-2.6995417348608868,-17.479541734860888,2.6995417348608868,2024,0
1100031,76.0,75,76,3,71.05263157894737,767.67554,44.78662,7.894736842105263,14.174542718362881,64.91228070175438,90.47619047619048,100.0,70.85,72.53,74.15,75.71,77.21,78.64,80,3.0,90.48,Norte,Leste Rondoniense,5067.0,47052.29919084271,20.5,8.53070154144103,Muito pequeno,70.85,0.2026315789473756,-8.94736842105263,-0.2026315789473756,2024,0
1100049,66.08040201005025,796,613,14,62.80587275693311,756.05347,51.230625,15.660685154975528,27.07970932637182,6.666666666666667,84.43526170798899,100.0,65.39,68.16,70.81,73.33,75.7,77.92,80,3.0,84.44,Norte,Leste Rondoniense,86416.0,32314.68709498241,26.13,11.366939694696843,Médio,65.39,-2.584127243066888,-17.194127243066887,2.584127243066888,2024,0
1100056,66.80327868852459,244,222,4,57.20720720720721,745.4191,46.925743,18.46846846846847,8.073525916546199,43.47826086956522,92.11618257261411,100.0,62.09,65.53,68.81,71.91,74.81,77.51,80,2.0,92.12,Norte,Leste Rondoniense,16088.0,46187.34460467429,20.19,9.685891087651035,Pequeno,62.09,-4.882792792792792,-22.79279279279279,4.882792792792792,2024,0
1100064,72.0,175,147,5,63.26530612244898,757.3597,43.628616,10.884353741496598,9.754525537329448,45.45454545454545,86.98224852071006,100.0,65.67,68.39,70.98,73.45,75.78,77.96,80,3.0,86.98,Norte,Leste Rondoniense,15213.0,27926.510221521068,29.32,9.629971335557247,Pequeno,65.67,-2.4046938775510185,-16.734693877551017,2.4046938775510185,2024,0
1100072,72.09302325581395,129,119,3,59.66386554621849,749.53735,46.369934,15.966386554621847,9.913326926067269,46.42857142857143,92.24806201550388,100.0,61.82,65.31,68.64,71.79,74.74,77.48,80,2.0,92.25,Norte,Leste Rondoniense,7052.0,56259.21724333522,15.9,8.86120833720818,Muito pequeno,61.82,-2.1561344537815117,-20.33613445378151,2.1561344537815117,2024,0
1100080,59.89847715736041,197,214,3,79.90654205607477,783.48303,47.435925,7.476635514018691,16.37573889981711,64.94845360824742,91.06382978723404,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80,5.0,91.06,Norte,Madeira-Guaporé,19255.0,16446.221760581666,42.0,9.865577979462907,Pequeno,80.0,-0.09345794392523032,-0.09345794392523032,0.09345794392523032,2024,1
1100098,71.12462006079028,329,339,7,85.25073746312685,790.8526,45.01229,5.014749262536873,23.716775553932973,37.5,93.38842975206612,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80,5.0,93.39,Norte,Leste Rondoniense,33009.0,23429.125390045137,31.26,10.40456582484724,Médio,80.0,5.250737463126853,5.250737463126853,-5.250737463126853,2024,1
1100106,42.857142857142854,434,431,8,44.31554524361949,734.1726,43.10533,25.05800464037123,17.107484994295923,27.77777777777778,94.51754385964912,100.0,47.82,53.95,59.97,65.69,71.0,75.78,80,1.0,94.52,Norte,Madeira-Guaporé,46930.0,22464.415086298744,36.54,10.756433716893001,Médio,47.82,-3.504454756380511,-35.68445475638051,3.504454756380511,2024,1
1100114,64.22182468694096,559,625,12,63.2,755.5397,46.893833,12.959999999999999,16.397954754772368,31.57894736842105,91.91176470588235,100.0,65.65,68.37,70.97,73.44,75.77,77.96,80,3.0,91.91,Norte,Leste Rondoniense,51469.0,34287.00771338087,24.88,10.8487543926468,Médio,65.65,-2.450000000000003,-16.799999999999997,2.450000000000003,2024,1
1100122,72.76119402985076,804,814,18,81.44963144963145,780.7851,42.567013,5.282555282555283,23.56844563794578,18.181818181818183,87.62109795479009,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80,5.0,87.62,Norte,Leste Rondoniense,131026.0,32286.378276067346,24.96,11.783158687816414,Grande,80.0,1.449631449631454,1.449631449631454,-1.449631449631454,2024,1
1100130,65.4320987654321,405,432,11,52.083333333333336,743.14105,47.519394,19.675925925925927,12.718269323763431,26.027397260273972,87.8048780487805,100.0,56.12,60.73,65.16,69.34,73.23,76.79,80,2.0,87.8,Norte,Leste Rondoniense,41724.0,21338.2945067587,32.93,10.638855748530036,Médio,56.12,-4.036666666666662,-27.916666666666664,4.036666666666662,2024,0
1100148,75.41666666666667,240,216,4,75.0,767.6649,41.170055,6.481481481481481,21.80713824271354,50.0,93.91304347826087,100.0,75.6,76.38,77.14,77.88,78.6,79.31,80,4.0,93.91,Norte,Leste Rondoniense,20504.0,26816.86500195084,27.9,9.92842403782616,Pequeno,75.6,-0.5999999999999943,-5.0,0.5999999999999943,2024,1
1100155,66.57458563535911,362,384,9,73.4375,766.6342,42.25578,7.291666666666667,17.74014933459186,46.34146341463415,86.48648648648648,100.0,73.58,74.74,75.86,76.95,78.0,79.02,80,4.0,86.49,Norte,Leste Rondoniense,35445.0,27819.04358865849,28.01,10.475765690615084,Médio,73.58,-0.1424999999999983,-6.5625,0.1424999999999983,2024,1
1100189,81.77966101694916,472,440,8,70.68181818181817,763.9363,47.93182,10.681818181818182,26.214083534423786,12.5,90.34907597535934,100.0,71.37,72.95,74.48,75.95,77.36,78.71,80,3.0,90.35,Norte,Leste Rondoniense,37098.0,44277.8856003019,21.0,10.521345294054358,Médio,71.37,-0.6881818181818318,-9.318181818181827,0.6881818181818318,2024,0
1100205,51.144741948001545,5154,5417,81,65.34982462617685,761.9648,51.088425,12.553073657005722,22.663949957807436,10.0,86.10713718009856,100.0,67.5,69.85,72.1,74.24,76.28,78.19,80,3.0,86.11,Norte,Madeira-Guaporé,548952.0,36535.32184963348,23.15,13.215768106626541,Metrópole,67.5,-2.1501753738231457,-14.650175373823146,2.1501753738231457,2024,1
1100254,71.52777777777779,144,132,2,65.15151515151516,756.2077,39.82629,7.575757575757576,3.9985204888525034,63.095238095238095,89.1891891891892,100.0,65.31,68.1,70.76,73.29,75.68,77.91,80,3.0,89.19,Norte,Leste Rondoniense,18165.0,30840.077071290943,26.43,9.80730699406216,Pequeno,65.31,-0.15848484848484645,-14.848484848484844,0.15848484848484645,2024,0
1100262,62.903225806451616,62,49,1,81.63265306122449,779.66425,45.427624,10.204081632653061,,81.63265306122449,79.03225806451613,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80,5.0,79.03,Norte,Leste Rondoniense,3843.0,47990.63231850117,20.51,8.254268770090183,Muito pequeno,80.0,1.632653061224488,1.632653061224488,-1.632653061224488,2024,1
1100288,75.45008183306055,611,602,9,69.43521594684385,761.4892,40.17294,7.641196013289036,10.334078745025037,45.45454545454545,90.93655589123867,100.0,70.6,72.34,74.01,75.61,77.14,78.61,80,3.0,90.94,Norte,Leste Rondoniense,55748.0,28077.07899834972,29.74,10.92861475194176,Médio,70.6,-1.16478405315614,-10.564784053156146,1.16478405315614,2024,0
1100296,83.33333333333334,78,92,1,76.08695652173914,761.6756,39.250233,8.695652173913043,,76.08695652173914,97.87234042553192,100.0,76.7,77.27,77.84,78.39,78.94,79.47,80,4.0,97.87,Norte,Leste Rondoniense,5942.0,35945.80949175362,25.2,8.68996933536666,Muito pequeno,76.7,-0.6130434782608631,-3.9130434782608603,0.6130434782608631,2024,0
1100304,71.94844579226687,1319,1054,16,66.50853889943073,761.992,51.8497,13.66223908918406,20.96770793566172,27.77777777777778,85.90057049714751,100.0,67.96,70.22,72.38,74.44,76.4,78.26,80,3.0,85.9,Norte,Leste Rondoniense,104517.0,40332.59661107762,22.0,11.55711458435771,Grande,67.96,-1.4514611005692615,-13.491461100569268,1.4514611005692615,2024,0
1100320,69.20529801324503,302,226,5,67.69911504424779,761.70795,45.00661,8.849557522123893,22.33216960249636,40.0,92.24489795918367,100.0,69.73,71.63,73.46,75.22,76.89,78.49,80,3.0,92.24,Norte,Leste Rondoniense,23147.0,39112.67118849095,20.97,10.04966366269373,Pequeno,69.73,-2.0308849557522137,-12.30088495575221,2.0308849557522137,2024,1
1100338,45.79207920792079,404,384,7,64.32291666666666,756.3453,48.530594,12.760416666666666,24.903859984666212,15.0,87.07482993197279,100.0,65.81,68.5,71.07,73.51,75.81,77.98,80,3.0,87.07,Norte,Madeira-Guaporé,32184.0,23076.249067859808,30.25,10.379255784486716,Médio,65.81,-1.487083333333345,-15.677083333333343,1.487083333333345,2024,1
1100346,65.74074074074075,108,84,3,29.761904761904763,721.25476,46.643135,38.095238095238095,19.896894176222517,6.25,88.42105263157895,100.0,36.33,44.11,52.2,60.17,67.64,74.3,80,0.0,88.42,Norte,Leste Rondoniense,13807.0,25539.94350691678,31.15,9.53300341332321,Pequeno,36.33,-6.5680952380952355,-50.23809523809524,6.5680952380952355,2024,0
1100379,79.56989247311827,186,172,6,70.34883720930233,767.08746,48.44356,8.720930232558139,29.767810661969193,12.5,90.52631578947368,100.0,71.19,72.81,74.37,75.87,77.31,78.69,80,3.0,90.53,Norte,Leste Rondoniense,13268.0,36454.02472113355,22.3,9.493185766536437,Pequeno,71.19,-0.8411627906976662,-9.651162790697668,0.8411627906976662,2024,0
1100403,60.23391812865497,171,133,5,64.66165413533834,763.4361,53.92842,12.030075187969924,25.302254477272434,50.0,83.64779874213836,100.0,64.58,67.51,70.32,72.98,75.48,77.82,80,3.0,83.65,Norte,Leste Rondoniense,22258.0,22946.356366250337,31.14,10.010501700190611,Pequeno,64.58,0.08165413533833998,-15.338345864661662,-0.08165413533833998,2024,1
