id_municipio,taxa_microdados,taxa_publicada,diferenca_abs
1100015,68.0,67.79,0.20999999999999375
1100023,65.85365853658537,65.62,0.2336585365853665
1100031,76.0,75.88,0.12000000000000455
1100049,66.08040201005025,65.81,0.27040201005024755
1100056,66.80327868852459,66.81,0.006721311475416769
1100064,72.0,71.69,0.3100000000000023
1100072,72.09302325581395,72.68,0.5869767441860603
1100080,59.89847715736041,59.63,0.2684771573604081
1100098,71.12462006079028,71.16,0.035379939209718714
1100106,42.857142857142854,43.07,0.2128571428571462
1100114,64.22182468694096,63.99,0.2318246869409606
1100122,72.76119402985076,72.81,0.048805970149246036
1100130,65.4320987654321,64.75,0.6820987654321016
1100148,75.41666666666667,75.61,0.19333333333332803
1100155,66.57458563535911,66.4,0.17458563535910798
1100189,81.77966101694916,81.06,0.7196610169491606
1100205,51.144741948001545,50.84,0.3047419480015421
1100254,71.52777777777779,71.14,0.3877777777777851
1100262,62.903225806451616,62.81,0.09322580645161338
1100288,75.45008183306055,75.19,0.26008183306055344
1100296,83.33333333333334,83.36,0.026666666666656624
1100304,71.94844579226687,71.66,0.28844579226687017
1100320,69.20529801324503,69.13,0.07529801324503183
1100338,45.79207920792079,45.3,0.4920792079207956
1100346,65.74074074074075,65.35,0.39074074074075327
1100379,79.56989247311827,79.54,0.029892473118266594
1100403,60.23391812865497,60.45,0.21608187134503254
1100452,72.3744292237443,72.32,0.054429223744307365
1100502,70.58823529411765,70.67,0.08176470588234963
1100601,79.41176470588235,78.84,0.5717647058823445
1100700,72.39263803680981,71.94,0.45263803680981596
1100809,51.36612021857923,51.63,0.2638797814207692
1100908,64.0,65.42,1.4200000000000017
1100924,73.37662337662337,71.99,1.3866233766233762
1100940,67.6923076923077,67.6,0.09230769230769909
1101005,70.96774193548387,70.76,0.20774193548386677
1101104,71.25,70.62,0.6299999999999955
1101203,69.51219512195121,69.17,0.3421951219512067
1101302,73.84615384615385,73.82,0.026153846153860627
1101401,70.93023255813954,69.92,1.0102325581395348
1101435,70.58823529411765,70.92,0.33176470588234963
1101450,69.49152542372882,70.6,1.1084745762711776
1101468,58.333333333333336,57.63,0.7033333333333331
1101476,57.6271186440678,57.63,0.002881355932203178
1101484,77.35849056603774,78.36,1.001509433962255
1101492,63.25757575757576,62.99,0.2675757575757558
1101500,66.12903225806451,66.06,0.06903225806451019
1101559,66.0377358490566,65.3,0.7377358490566053
1101609,78.94736842105263,78.73,0.2173684210526261
1101708,60.95890410958904,61.28,0.3210958904109589
1101757,55.65217391304348,55.65,0.0021739130434781373
1101807,43.58974358974359,44.06,0.4702564102564111
1200013,58.88888888888889,59.69,0.8011111111111049
1200054,50.48543689320388,49.17,1.3154368932038807
1200104,47.23127035830619,46.68,0.5512703583061906
1200138,26.89655172413793,26.69,0.20655172413792755
1200179,35.76158940397351,34.97,0.7915894039735107
1200203,42.67399267399267,42.18,0.4939926739926719
1200252,53.242320819112635,52.28,0.9623208191126338
1200302,53.179190751445084,53.33,0.15080924855491418
1200328,19.565217391304348,19.59,0.024782608695652186
1200336,38.604651162790695,38.07,0.5346511627906949
1200344,43.386243386243386,42.51,0.876243386243388
1200351,62.5,62.82,0.3200000000000003
1200385,34.5679012345679,33.78,0.7879012345678973
1200393,40.229885057471265,39.79,0.4398850574712654
1200401,55.88865096359743,55.64,0.24865096359742722
1200427,41.25874125874126,38.92,2.3387412587412584
1200435,15.517241379310345,15.62,0.10275862068965402
1200450,43.47826086956522,43.66,0.18173913043477796
1200500,65.57734204793029,64.83,0.7473420479302888
1200609,45.87525150905433,45.18,0.6952515090543301
1200708,51.886792452830186,51.91,0.023207547169810994
1200807,39.83050847457627,39.69,0.14050847457627214
1300029,56.08108108108109,58.47,2.388918918918911
1300060,64.77272727272727,64.58,0.19272727272726797
1300086,56.25,53.48,2.770000000000003
1300102,77.77777777777779,77.45,0.32777777777778283
1300144,51.724137931034484,49.25,2.474137931034484
1300201,84.14634146341463,84.07,0.07634146341463577
1300409,39.884393063583815,38.21,1.674393063583814
1300508,24.915824915824917,24.4,0.5158249158249184
1300607,34.48795180722892,34.3,0.18795180722892013
1300680,31.97278911564626,31.41,0.562789115646261
1300706,46.391752577319586,44.78,1.611752577319585
