id_municipio,taxa_observada,n_avaliados_ano,mun_n_avaliados_lag,mun_n_escolas_lag,mun_taxa_alfabetizacao_lag,mun_media_proficiencia_lag,mun_dp_proficiencia_lag,mun_pct_defasagem_severa_lag,mun_dp_entre_escolas_lag,mun_pior_escola_lag,mun_taxa_presenca_lag,mun_pct_rede_municipal_lag,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,nivel_alfabetizacao,percentual_participacao,regiao,mesorregiao,populacao,pib_per_capita,pct_vab_adm_publica,log_populacao,porte_municipio,meta_ano,gap_lag_meta_ano,gap_lag_meta_2030,esforco_necessario,ano,nao_atingiu_meta
1100015,78.14814814814814,270,275,8,68.0,752.59265,32.804794,6.545454545454546,17.91092645620303,40.0,89.86928104575163,100.0,67.08,69.51,71.84,74.06,76.16,78.14,80,3.0,89.87,Norte,Leste Rondoniense,22516.0,32619.78148871913,25.28,10.02202585845966,Pequeno,69.51,-1.5100000000000051,-12.0,1.5100000000000051,2025,0
1100023,79.69811320754717,1325,1066,18,65.85365853658537,748.3073,36.76233,11.163227016885553,12.198090834851627,44.44444444444444,88.759367194005,100.0,65.22,68.02,70.71,73.25,75.65,77.9,80,3.0,88.76,Norte,Leste Rondoniense,111148.0,28892.053838125743,28.03,11.618626922500768,Grande,68.02,-2.166341463414625,-14.146341463414629,2.166341463414625,2025,0
1100031,86.88524590163934,61,75,2,76.0,759.8572,31.168402,4.0,2.7119152119370336,72.72727272727273,92.5925925925926,100.0,70.85,72.53,74.15,75.71,77.21,78.64,80,4.0,92.59,Norte,Leste Rondoniense,5067.0,47052.29919084271,20.5,8.53070154144103,Muito pequeno,72.53,3.469999999999999,-4.0,-3.469999999999999,2025,0
1100049,84.86772486772487,945,796,14,66.08040201005025,747.7736,41.34924,14.572864321608039,14.043064766328124,53.84615384615385,92.55813953488372,100.0,65.39,68.16,70.81,73.33,75.7,77.92,80,3.0,92.57,Norte,Leste Rondoniense,86416.0,32314.68709498241,26.13,11.366939694696843,Médio,68.16,-2.0795979899497468,-13.91959798994975,2.0795979899497468,2025,0
1100056,89.79591836734694,294,244,4,66.80327868852459,749.646,39.282352,11.475409836065573,12.550798235293605,52.77777777777778,96.44268774703558,100.0,62.09,65.53,68.81,71.91,74.81,77.51,80,3.0,96.44,Norte,Leste Rondoniense,16088.0,46187.34460467429,20.19,9.685891087651035,Pequeno,65.53,1.2732786885245844,-13.196721311475414,-1.2732786885245844,2025,0
1100064,78.24074074074075,216,175,5,72.0,756.0006,39.3467,9.714285714285714,20.20315395705461,38.095238095238095,90.67357512953367,100.0,65.67,68.39,70.98,73.45,75.78,77.96,80,4.0,90.67,Norte,Leste Rondoniense,15213.0,27926.510221521068,29.32,9.629971335557247,Pequeno,68.39,3.6099999999999994,-8.0,-3.6099999999999994,2025,0
1100072,91.40625,128,129,3,72.09302325581395,759.36743,36.978436,6.976744186046512,9.786822416091713,58.333333333333336,88.35616438356165,100.0,61.82,65.31,68.64,71.79,74.74,77.48,80,4.0,88.36,Norte,Leste Rondoniense,7052.0,56259.21724333522,15.9,8.86120833720818,Muito pequeno,65.31,6.783023255813944,-7.9069767441860535,-6.783023255813944,2025,0
1100080,75.22935779816514,218,197,4,59.89847715736041,744.56647,40.661224,16.751269035532996,8.245527198578301,51.85185185185185,91.62790697674419,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80,2.0,91.63,Norte,Madeira-Guaporé,19255.0,16446.221760581666,42.0,9.865577979462907,Pequeno,80.0,-20.10152284263959,-20.10152284263959,20.10152284263959,2025,1
1100098,82.04419889502762,362,329,6,71.12462006079028,757.39996,34.53769,6.68693009118541,7.774791673585144,63.02521008403361,90.38461538461539,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80,4.0,90.38,Norte,Leste Rondoniense,33009.0,23429.125390045137,31.26,10.40456582484724,Médio,80.0,-8.875379939209722,-8.875379939209722,8.875379939209722,2025,0
1100106,72.03389830508475,472,434,8,42.857142857142854,728.9665,39.753635,24.193548387096776,9.93261487829433,26.0,90.22869022869024,100.0,47.82,53.95,59.97,65.69,71.0,75.78,80,1.0,90.23,Norte,Madeira-Guaporé,46930.0,22464.415086298744,36.54,10.756433716893001,Médio,53.95,-11.092857142857149,-37.142857142857146,11.092857142857149,2025,0
1100114,87.63358778625954,655,559,12,64.22182468694096,746.1677,38.80424,13.237924865831843,14.412390441019074,33.33333333333333,91.78981937602627,100.0,65.65,68.37,70.97,73.44,75.77,77.96,80,3.0,91.79,Norte,Leste Rondoniense,51469.0,34287.00771338087,24.88,10.8487543926468,Médio,68.37,-4.148175313059042,-15.778175313059037,4.148175313059042,2025,0
1100122,75.77497129735936,871,804,16,72.76119402985076,757.5454,38.97875,9.07960199004975,6.370781053596706,61.111111111111114,87.20173535791757,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80,4.0,87.2,Norte,Leste Rondoniense,131026.0,32286.378276067346,24.96,11.783158687816414,Grande,80.0,-7.238805970149244,-7.238805970149244,7.238805970149244,2025,1
1100130,67.79661016949152,413,405,9,65.4320987654321,749.05927,38.258877,12.839506172839506,12.828438893144261,50.0,86.53846153846155,100.0,56.12,60.73,65.16,69.34,73.23,76.79,80,3.0,86.54,Norte,Leste Rondoniense,41724.0,21338.2945067587,32.93,10.638855748530036,Médio,60.73,4.702098765432105,-14.567901234567898,-4.702098765432105,2025,0
1100148,86.61087866108787,239,240,4,75.41666666666667,753.3971,32.165993,7.5,4.754605245840194,66.66666666666666,93.3852140077821,100.0,75.6,76.38,77.14,77.88,78.6,79.31,80,4.0,93.39,Norte,Leste Rondoniense,20504.0,26816.86500195084,27.9,9.92842403782616,Pequeno,76.38,-0.963333333333324,-4.583333333333329,0.963333333333324,2025,0
1100155,86.02620087336244,458,362,9,66.57458563535911,749.873,33.861088,6.906077348066299,20.45493936779061,11.11111111111111,91.87817258883248,100.0,73.58,74.74,75.86,76.95,78.0,79.02,80,3.0,91.88,Norte,Leste Rondoniense,35445.0,27819.04358865849,28.01,10.475765690615084,Médio,74.74,-8.165414364640881,-13.425414364640886,8.165414364640881,2025,0
1100189,82.33082706766918,532,472,8,81.77966101694916,762.2678,32.55653,5.296610169491525,15.942625617177818,42.857142857142854,89.73384030418251,100.0,71.37,72.95,74.48,75.95,77.36,78.71,80,5.0,89.73,Norte,Leste Rondoniense,37098.0,44277.8856003019,21.0,10.521345294054358,Médio,72.95,8.82966101694916,1.779661016949163,-8.82966101694916,2025,0
