id_municipio,sigla_uf,risco_medio,alunos,criancas_em_risco,nome_municipio_ibge
3550308,SP,0.36975766724446785,95476,35302.98303783281,São Paulo
3304557,RJ,0.3736987170137623,43013,16073.902914912956,Rio de Janeiro
1302603,AM,0.4815784118449555,24310,11707.171191950867,Manaus
5300108,DF,0.3885178085303882,23797,9245.558289597648,Brasília
2927408,BA,0.6073543924271503,12336,7492.323784981326,Salvador
3518800,SP,0.4608294267265286,14202,6544.699518370159,Guarulhos
4314902,RS,0.6753090347673566,7378,4982.430058513557,Porto Alegre
5002704,MS,0.44883895960370873,10169,4564.243380210114,Campo Grande
1501402,PA,0.49771278813272174,9092,4525.204669702706,Belém
3106200,MG,0.26829660461067134,16792,4505.236584622393,Belo Horizonte
3303500,RJ,0.6482900610119194,6798,4407.075834759028,Nova Iguaçu
4106902,PR,0.31869041448216023,12932,4121.304440083296,Curitiba
2304400,CE,0.21588993340250895,16878,3643.790295967546,Fortaleza
3301702,RJ,0.5402378835317195,6397,3455.90174095241,Duque de Caxias
2611606,PE,0.34588598926172665,9844,3404.901678292437,Recife
2704302,AL,0.5089004566100023,6203,3156.709532351844,Maceió
1400100,RR,0.5189004682835756,6037,3132.602127027946,Boa Vista
1600303,AP,0.45377126076195345,6378,2894.153101139739,Macapá
5208707,GO,0.3219742463039261,8982,2891.9726803018643,Goiânia
3534401,SP,0.43505234418848937,6573,2859.5990583509406,Osasco
3548708,SP,0.3934306487826544,7082,2786.275854678758,São Bernardo do Campo
3205002,ES,0.40061342418169066,6770,2712.1528817100457,Serra
2111300,MA,0.42641550378315635,6217,2651.025187019883,São Luís
3552205,SP,0.4200274880830911,6265,2631.4722128405656,Sorocaba
1100205,RO,0.4680679570702047,5319,2489.653463656419,Porto Velho
3509502,SP,0.27656455089685367,8920,2466.955793999935,Campinas
2507507,PB,0.4406937154621113,5594,2465.2406442950505,João Pessoa
2211001,PI,0.3411352041102274,7138,2435.0230869388033,Teresina
5103403,MT,0.3998612035288231,6069,2426.7576442164273,Cuiabá
2910800,BA,0.6323076970321533,3804,2405.298479510311,Feira de Santana
3301009,RJ,0.5821090750948562,4058,2362.1986267349266,Campos dos Goytacazes
2408102,RN,0.5880433218102368,4014,2360.4058937462905,Natal
3304904,RJ,0.5972931747078815,3924,2343.7784175537267,São Gonçalo
1506807,PA,0.46807099071583347,4541,2125.5103688405998,Santarém
1500800,PA,0.4862757433754738,4345,2112.8681049664337,Ananindeua
3300456,RJ,0.6369793309805967,3297,2100.120854243027,Belford Roxo
2918407,BA,0.6829837934683746,2973,2030.5108179814774,Juazeiro
3549904,SP,0.29884395614081943,6671,1993.5880314154065,São José dos Campos
2800308,SE,0.5420027327940806,3666,1986.9820184230994,Aracaju
1200401,AC,0.4644333372191147,4218,1958.9798163902258,Rio Branco
4305108,RS,0.5481646179173792,3558,1950.3697105500353,Caxias do Sul
3530607,SP,0.4273032064418654,4509,1926.7101578463712,Mogi das Cruzes
4209102,SC,0.29065457099547276,6459,1877.3378740597586,Joinville
3170206,MG,0.29631057252159926,6132,1816.9764307024468,Uberlândia
3523107,SP,0.3996569510913313,4543,1815.6415288079181,Itaquaquecetuba
