modelo,auc_estratificado,desvio_estratificado,auc_por_uf,desvio_por_uf
Random Forest,0.8017113645730181,0.01485462171616434,0.744945062214941,0.06874927485385988
Regressão Logística,0.792529685367251,0.015703176933043548,0.7427418618184326,0.07967715122426276
Baseline analítico (esforço necessário),0.7443146572111423,0.0,0.740586493995789,0.0
LightGBM,0.8032860333380617,0.014871590856781898,0.7339673227414092,0.07230366205544396
Árvore de Decisão,0.7568008357113098,0.015298056737970753,0.713536824066844,0.06486715047212753
Baseline (classe majoritária),0.5,0.0,0.5,0.0
