id_municipio,municipio,sigla_uf,regiao,taxa_2025,meta_2026,esforco_necessario,alunos_avaliados_2025,risco_nao_atingir_meta
4304606,Canoas,RS,Sul,42.43781094527363,66.07,23.63218905472636,2010,0.9348134514140835
4318309,São Gabriel,RS,Sul,45.2513966480447,70.12,24.868603351955308,358,0.9345787937866076
4314100,Passo Fundo,RS,Sul,40.376390076988876,68.81,28.433609923011126,1169,0.9340125495800251
4315602,Rio Grande,RS,Sul,36.81898066783831,66.59,29.771019332161693,1138,0.9334494278171903
4309308,Guaíba,RS,Sul,41.105769230769226,64.28,23.174230769230775,832,0.9333919784836043
4318705,São Leopoldo,RS,Sul,41.00061012812691,68.04,27.039389871873098,1639,0.9323965623888287
4303103,Cachoeirinha,RS,Sul,46.895074946466806,68.56,21.664925053533196,934,0.9318547711631354
4321600,Tramandaí,RS,Sul,43.613138686131386,66.7,23.086861313868617,548,0.9289104125656087
4309209,Gravataí,RS,Sul,46.19826756496631,71.38,25.181732435033688,2078,0.928395117156715
4314407,Pelotas,RS,Sul,30.138990490124364,54.37,24.231009509875634,1367,0.9272595311290072
4300604,Alvorada,RS,Sul,41.07142857142857,62.61,21.53857142857143,1568,0.9266189644782273
4316907,Santa Maria,RS,Sul,47.90619765494137,72.23,24.32380234505863,1194,0.924935641612061
4323002,Viamão,RS,Sul,41.38585666824869,68.97,27.584143331751307,2107,0.9240906363391027
4317301,Santa Vitória do Palmar,RS,Sul,36.08247422680412,67.53,31.447525773195878,194,0.9225596605005539
4308508,Frederico Westphalen,RS,Sul,45.45454545454545,71.17,25.71545454545455,88,0.918840910003436
4209300,Lages,SC,Sul,48.53801169590643,63.67,15.131988304093575,855,0.9184591803830705
3300456,Belford Roxo,RJ,Sudeste,36.45738550197149,55.81,19.352614498028515,3297,0.9182684421595297
3518701,Guarujá,SP,Sudeste,38.92215568862276,63.5,24.57784431137724,2004,0.9179731270785483
4303004,Cachoeira do Sul,RS,Sul,46.41509433962264,68.27,21.854905660377355,265,0.9159407147956299
4304663,Capão do Leão,RS,Sul,34.33962264150943,63.74,29.400377358490573,265,0.9143809991398166
4313508,Osório,RS,Sul,46.68989547038328,73.48,26.790104529616727,287,0.9135010695088334
3305109,São João de Meriti,RJ,Sudeste,38.41035120147874,57.56,19.149648798521262,2705,0.9129361455213555
4318002,São Borja,RS,Sul,45.92391304347826,72.27,26.346086956521738,368,0.9123765503237785
4306601,Dom Pedrito,RS,Sul,48.41269841269841,68.26,19.847301587301594,126,0.9121874422811677
3531100,Mongaguá,SP,Sudeste,47.096774193548384,63.69,16.593225806451613,620,0.9121166045256145
4319604,São Sepé,RS,Sul,31.53153153153153,80.0,48.46846846846847,111,0.9116546601308794
3516309,Francisco Morato,SP,Sudeste,51.75903614457832,64.77,13.010963855421679,2075,0.911378800521513
4323804,Xangri-lá,RS,Sul,42.391304347826086,67.95,25.558695652173917,184,0.9109341308334586
3305554,Seropédica,RJ,Sudeste,45.614035087719294,62.57,16.955964912280706,855,0.9108190422816526
3304144,Queimados,RJ,Sudeste,42.714723926380366,57.84,15.125276073619638,1304,0.909215663100274
3304904,São Gonçalo,RJ,Sudeste,46.66156982670744,62.13,15.46843017329256,3924,0.9091439736919465
3301702,Duque de Caxias,RJ,Sudeste,47.678599343442244,62.92,15.241400656557758,6397,0.90843256034457
3302270,Japeri,RJ,Sudeste,40.70397111913358,58.44,17.73602888086642,1108,0.9078747921442081
4311809,Marau,RS,Sul,47.474747474747474,72.88,25.40525252525252,297,0.9065711144946037
4313409,Novo Hamburgo,RS,Sul,47.17741935483871,70.74,23.562580645161283,1984,0.9055946127047639
3302007,Itaguaí,RJ,Sudeste,47.23011363636363,60.13,12.89988636363637,1408,0.9044540516720095
4313060,Nova Hartz,RS,Sul,47.82608695652174,75.7,27.87391304347826,230,0.9038912447442751
4213708,Pouso Redondo,SC,Sul,29.88505747126437,72.83,42.94494252873562,87,0.9035459753385496
4316808,Santa Cruz do Sul,RS,Sul,55.51724137931034,71.99,16.472758620689653,580,0.9006380494881803
