modelo,auc_estratificado,desvio_estratificado,auc_por_municipio,desvio_por_municipio,segundos
Random Forest,0.6696765282992908,0.0032398878631541878,0.6604194957512437,0.007680584629864075,297.796550989151
LightGBM,0.6712975531965673,0.0032991861356885836,0.6567285308066587,0.007661772752553283,64.8594663143158
Regressão Logística,0.6622268625463138,0.003740171380230011,0.654898111090648,0.017068573334679173,99.28399085998535
Árvore de Decisão,0.6605930582602862,0.0036646416369702493,0.64741939428993,0.010293470448905741,77.1551764011383
Baseline (classe majoritária),0.5,0.0,0.5,0.0,27.42347526550293
