id_municipio,populacao,pib_per_capita,pct_vab_adm_publica
1100015,22516.0,32619.781488719134,25.28
1100023,111148.0,28892.053838125743,28.03
1100031,5067.0,47052.29919084271,20.5
1100049,86416.0,32314.68709498241,26.13
1100056,16088.0,46187.34460467429,20.19
1100064,15213.0,27926.510221521068,29.32
1100072,7052.0,56259.217243335224,15.9
1100080,19255.0,16446.221760581666,42.0
1100098,33009.0,23429.125390045137,31.26
1100106,46930.0,22464.415086298744,36.54
1100114,51469.0,34287.00771338087,24.88
1100122,131026.0,32286.378276067346,24.96
1100130,41724.0,21338.2945067587,32.93
1100148,20504.0,26816.86500195084,27.9
1100155,35445.0,27819.043588658486,28.01
1100189,37098.0,44277.8856003019,21.0
1100205,548952.0,36535.32184963348,23.15
1100254,18165.0,30840.077071290943,26.43
1100262,3843.0,47990.63231850117,20.51
1100288,55748.0,28077.078998349716,29.74
1100296,5942.0,35945.80949175362,25.2
1100304,104517.0,40332.59661107762,22.0
1100320,23147.0,39112.67118849095,20.97
1100338,32184.0,23076.249067859808,30.25
1100346,13807.0,25539.94350691678,31.15
1100379,13268.0,36454.02472113355,22.3
1100403,22258.0,22946.356366250337,31.14
1100452,41043.0,23549.83797480691,30.55
1100502,8125.0,28492.43076923077,27.88
1100601,6307.0,43655.937846836845,17.76
1100700,14391.0,25649.850601070113,29.39
1100809,28068.0,23356.45575032065,33.13
1100908,2923.0,34083.817995210404,29.33
1100924,11755.0,39880.30625265844,23.08
1100940,27131.0,17977.811359699237,38.84
1101005,7130.0,33566.76016830294,24.97
1101104,10819.0,19403.54931139662,39.97
1101203,9461.0,31484.621075996194,25.09
1101302,10691.0,24565.241792161632,30.55
1101401,16158.0,24123.09691793539,31.53
1101435,6822.0,23060.83260041044,32.33
1101450,6319.0,24597.246399746797,31.73
1101468,2127.0,115754.11377527034,11.07
1101476,2697.0,39684.83500185391,27.4
1101484,4962.0,26335.147118097542,32.75
1101492,21088.0,23147.80918057663,31.03
1101500,11846.0,28109.572851595476,29.07
1101559,4160.0,29159.615384615383,29.43
1101609,10348.0,24877.85079242366,31.97
1101708,11081.0,24682.339139066873,32.92
1101757,11545.0,19137.981810307494,39.63
1101807,6490.0,28605.238828967642,30.11
1200013,15721.0,25362.572355448126,30.43
1200054,7649.0,17507.648058569746,47.19
1200104,27123.0,25278.767098034878,33.54
1200138,10572.0,28455.35376466137,27.63
1200179,12280.0,41722.55700325733,18.79
